FLAG_NM,FLAG_VALUE,HLDY_AT,BOOK_TY_NM,EXAMIN_CO,NON_READ_RT,THIRTY_MNT_BELO_READ_RT,ONE_TIME_BELO_READ_RT,TWO_TIME_BELO_READ_RT,THREE_TIME_BELO_READ_RT,FOUR_TIME_BELO_READ_RT,FIVE_TIME_BELO_READ_RT,FIVE_TIME_ABOVE_READ_RT,AVRG_READ_MNT_VALUE
지역,충남,Y,전자책,255,86.8,1.8,8.3,2.3,0.9,0,0,0,5.6
지역,전북,Y,전자책,206,92.1,0,2.2,3.3,2.4,0,0,0,5.5
지역,전남,Y,전자책,204,91.5,2,3.7,2.9,0,0,0,0,3.2
지역,경북,Y,전자책,310,90,0.5,2.7,4.1,2,0.3,0,0.4,7.9
지역,경남,Y,전자책,383,80,2,5.2,10,2.5,0.2,0,0,13.1
지역,제주,Y,전자책,76,89.1,0.3,5,2.2,1.7,1,0,0.6,9
지역,서울,Y,오디오북,1137,95.2,1,1.8,1.1,0.7,0.3,0,0,2.7
지역,부산,Y,오디오북,392,96,2,1.7,0.2,0,0,0,0,1.1
지역,대구,Y,오디오북,279,99.1,0.4,0.5,0,0,0,0,0,0.2
지역,인천,Y,오디오북,341,97.6,0.2,1,0.8,0.3,0,0,0,1.2
지역,광주,Y,오디오북,168,93.9,0,1.3,4.8,0,0,0,0,3.9
지역,대전,Y,오디오북,171,100,0,0,0,0,0,0,0,0
지역,울산,Y,오디오북,128,98,0.5,1.5,0,0,0,0,0,0.5
지역,세종,Y,오디오북,38,100,0,0,0,0,0,0,0,0
지역,경기,Y,오디오북,1543,94.5,0.3,3,2.1,0.1,0,0,0,2.4
지역,강원,Y,오디오북,177,98.3,0,1,0.7,0,0,0,0,0.9
지역,충북,Y,오디오북,189,100,0,0,0,0,0,0,0,0
지역,충남,Y,오디오북,255,100,0,0,0,0,0,0,0,0
지역,전북,Y,오디오북,206,97.7,0,2.3,0,0,0,0,0,0.7
지역,전남,Y,오디오북,204,95.9,0.3,3.1,0.7,0,0,0,0,1.4
지역,경북,Y,오디오북,310,98.7,0.3,0.8,0,0.2,0,0,0,0.5
지역,경남,Y,오디오북,383,98.4,0,0.9,0.7,0,0,0,0,0.9
지역,제주,Y,오디오북,76,96.9,0.9,1.4,0.8,0,0,0,0,1.2
연령,19-29세,N,종이책,1016,53.6,12.2,20.5,12.7,1.1,0,0,0,17.5
연령,30-39세,N,종이책,964,59.2,11.1,17.9,10.6,1.2,0,0,0,15.2
연령,40-49세,N,종이책,1123,68.5,9.5,11.8,9.2,0.9,0,0,0,12.1
연령,50-59세,N,종이책,1173,76,6.3,8.7,7.9,1,0,0,0,10.3
연령,60세이상,N,종이책,1724,80.3,4.2,7.4,6.5,1.1,0.5,0,0,9.5
연령,19-29세,N,전자책,1016,59.9,6.9,13.5,18.2,1.3,0.1,0,0,18.6
연령,30-39세,N,전자책,964,69,7.9,10.5,11.8,0.5,0.3,0,0,12.9
연령,40-49세,N,전자책,1123,89,2.8,4.7,3.1,0.3,0,0,0,4.3
연령,50-59세,N,전자책,1173,95.6,1.1,1.7,1.4,0.3,0,0,0,1.9
연령,60세이상,N,전자책,1724,97.9,0.7,0.9,0.5,0,0,0,0,0.7
연령,19-29세,N,오디오북,1016,91,1.3,5.4,2.1,0.3,0,0,0,3.6
연령,30-39세,N,오디오북,964,93.3,1,3.3,2.4,0,0,0,0,2.7
연령,40-49세,N,오디오북,1123,97,0.8,1.1,1,0.1,0,0,0,1.3
연령,50-59세,N,오디오북,1173,99.1,0.2,0.4,0.2,0.1,0,0,0,0.4
연령,60세이상,N,오디오북,1724,99.5,0.1,0.2,0.1,0.1,0,0,0,0.2
연령,19-29세,Y,종이책,1016,49.4,7.7,15.9,21.4,5.2,0.4,0,0,26.7
연령,30-39세,Y,종이책,964,54.2,8.6,13.3,20.7,3,0.2,0,0,22.7
연령,40-49세,Y,종이책,1123,65.1,6.9,12.5,12.4,2.8,0.1,0,0.1,17.2
연령,50-59세,Y,종이책,1173,74.8,6.2,7.9,8.8,2.1,0.1,0.1,0,12.3
연령,60세이상,Y,종이책,1724,84.5,3.9,5.8,4.6,0.8,0.2,0.2,0,7.4
연령,19-29세,Y,전자책,1016,56.2,3.9,12.6,17.6,9,0.5,0.2,0,28.5
연령,30-39세,Y,전자책,964,69.3,4.8,7.4,12.1,5.6,0.7,0,0.1,19
연령,40-49세,Y,전자책,1123,88.8,1.9,3.9,4.4,0.8,0.1,0,0.1,6.1
연령,50-59세,Y,전자책,1173,96,0.4,1.3,1.5,0.6,0,0,0,2.4
연령,60세이상,Y,전자책,1724,98.1,0.7,0.2,0.6,0.1,0.2,0,0,1.1
연령,19-29세,Y,오디오북,1016,90.8,1.1,5.3,2.1,0.5,0.2,0,0,4
연령,30-39세,Y,오디오북,964,93.1,1.1,3.3,2.4,0.1,0,0,0,3
연령,40-49세,Y,오디오북,1123,97.3,0.5,0.9,1.1,0.1,0.1,0,0,1.4
연령,50-59세,Y,오디오북,1173,99.3,0,0.3,0.2,0.1,0,0,0,0.4
연령,60세이상,Y,오디오북,1724,99.5,0,0.2,0.2,0.1,0,0,0,0.3
연령,초등4학년,N,종이책,380,13.4,12.5,27.9,35.2,8.4,1.7,0.6,0.3,52.3
연령,초등5학년,N,종이책,360,22.6,14.6,25.4,29.3,5.8,1.4,0.3,0.6,44.1
연령,초등6학년,N,종이책,376,14.8,16.8,28.9,32.5,5.3,1.4,0.3,0,43.2
연령,중등1학년,N,종이책,394,36.2,11,21.1,25.9,3.9,1.4,0.3,0.3,34.9
연령,중등2학년,N,종이책,357,39.4,9.2,21.4,22.3,5.4,1.3,0.5,0.4,35.9
연령,중등3학년,N,종이책,344,46.3,8.7,19.8,18.5,5.1,1.3,0.2,0.3,29.6
연령,고등1학년,N,종이책,392,55.5,7,14.8,15.4,5.2,0.2,0.9,1.1,28.1
